task,layer,inactive_count,epoch,model
4,layer1,1,2,relu_0.025_method1_sgd
4,layer2,2,2,relu_0.025_method1_sgd
4,layer3,1,2,relu_0.025_method1_sgd
4,layer4,1,2,relu_0.025_method1_sgd
4,conv1,2,3,relu_0.025_method1_sgd
4,layer1,1,3,relu_0.025_method1_sgd
4,layer2,1,3,relu_0.025_method1_sgd
4,layer3,2,3,relu_0.025_method1_sgd
4,layer4,3,3,relu_0.025_method1_sgd
4,conv1,2,4,relu_0.025_method1_sgd
4,layer1,1,4,relu_0.025_method1_sgd
4,layer2,2,4,relu_0.025_method1_sgd
4,layer3,1,4,relu_0.025_method1_sgd
4,layer4,1,4,relu_0.025_method1_sgd
4,conv1,2,5,relu_0.025_method1_sgd
4,layer1,1,5,relu_0.025_method1_sgd
4,layer2,1,5,relu_0.025_method1_sgd
4,layer3,1,5,relu_0.025_method1_sgd
4,layer4,1,5,relu_0.025_method1_sgd
4,conv1,2,6,relu_0.025_method1_sgd
4,layer1,1,6,relu_0.025_method1_sgd
4,layer2,1,6,relu_0.025_method1_sgd
4,layer3,1,6,relu_0.025_method1_sgd
4,layer4,1,6,relu_0.025_method1_sgd
4,conv1,2,7,relu_0.025_method1_sgd
4,layer1,1,7,relu_0.025_method1_sgd
4,layer2,1,7,relu_0.025_method1_sgd
4,layer3,1,7,relu_0.025_method1_sgd
4,layer4,1,7,relu_0.025_method1_sgd
4,conv1,2,8,relu_0.025_method1_sgd
4,layer1,1,8,relu_0.025_method1_sgd
4,layer2,1,8,relu_0.025_method1_sgd
4,layer3,2,8,relu_0.025_method1_sgd
4,layer4,2,8,relu_0.025_method1_sgd
4,conv1,2,9,relu_0.025_method1_sgd
4,layer1,1,9,relu_0.025_method1_sgd
4,layer2,1,9,relu_0.025_method1_sgd
4,layer3,1,9,relu_0.025_method1_sgd
4,layer4,2,9,relu_0.025_method1_sgd
5,conv1,2,0,relu_0.025_method1_sgd
5,layer1,1,0,relu_0.025_method1_sgd
5,layer2,2,0,relu_0.025_method1_sgd
5,layer3,2,0,relu_0.025_method1_sgd
5,layer4,2,0,relu_0.025_method1_sgd
5,conv1,2,1,relu_0.025_method1_sgd
5,layer1,1,1,relu_0.025_method1_sgd
5,layer2,1,1,relu_0.025_method1_sgd
5,layer3,1,1,relu_0.025_method1_sgd
5,layer4,2,1,relu_0.025_method1_sgd
5,conv1,2,2,relu_0.025_method1_sgd
5,layer1,1,2,relu_0.025_method1_sgd
5,layer2,1,2,relu_0.025_method1_sgd
5,layer3,1,2,relu_0.025_method1_sgd
5,layer4,1,2,relu_0.025_method1_sgd
5,conv1,2,3,relu_0.025_method1_sgd
5,layer1,1,3,relu_0.025_method1_sgd
5,layer2,1,3,relu_0.025_method1_sgd
5,layer3,1,3,relu_0.025_method1_sgd
5,layer4,3,3,relu_0.025_method1_sgd
5,conv1,2,4,relu_0.025_method1_sgd
5,layer1,1,4,relu_0.025_method1_sgd
5,layer2,1,4,relu_0.025_method1_sgd
5,layer3,1,4,relu_0.025_method1_sgd
5,layer4,2,4,relu_0.025_method1_sgd
5,conv1,2,5,relu_0.025_method1_sgd
5,layer1,1,5,relu_0.025_method1_sgd
5,layer2,1,5,relu_0.025_method1_sgd
5,layer3,4,5,relu_0.025_method1_sgd
5,layer4,1,5,relu_0.025_method1_sgd
5,conv1,2,6,relu_0.025_method1_sgd
5,layer1,1,6,relu_0.025_method1_sgd
5,layer2,1,6,relu_0.025_method1_sgd
5,layer3,5,6,relu_0.025_method1_sgd
5,layer4,1,6,relu_0.025_method1_sgd
5,conv1,2,7,relu_0.025_method1_sgd
5,layer1,2,7,relu_0.025_method1_sgd
5,layer2,1,7,relu_0.025_method1_sgd
5,layer3,3,7,relu_0.025_method1_sgd
5,layer4,2,7,relu_0.025_method1_sgd
5,conv1,2,8,relu_0.025_method1_sgd
5,layer1,2,8,relu_0.025_method1_sgd
5,layer2,1,8,relu_0.025_method1_sgd
5,layer3,2,8,relu_0.025_method1_sgd
5,layer4,5,8,relu_0.025_method1_sgd
5,conv1,2,9,relu_0.025_method1_sgd
5,layer1,2,9,relu_0.025_method1_sgd
5,layer2,2,9,relu_0.025_method1_sgd
5,layer3,1,9,relu_0.025_method1_sgd
5,layer4,1,9,relu_0.025_method1_sgd
1,conv1,1,0,relu_0.05_method2_sgd
1,layer1,2,0,relu_0.05_method2_sgd
1,layer2,1,0,relu_0.05_method2_sgd
1,layer3,1,0,relu_0.05_method2_sgd
1,layer4,2,0,relu_0.05_method2_sgd
1,conv1,1,1,relu_0.05_method2_sgd
1,layer1,2,1,relu_0.05_method2_sgd
1,layer2,1,1,relu_0.05_method2_sgd
1,layer3,1,1,relu_0.05_method2_sgd
1,layer4,4,1,relu_0.05_method2_sgd
1,conv1,1,2,relu_0.05_method2_sgd
1,layer1,1,2,relu_0.05_method2_sgd
1,layer2,3,2,relu_0.05_method2_sgd
1,layer3,1,2,relu_0.05_method2_sgd
1,layer4,2,2,relu_0.05_method2_sgd
1,conv1,2,3,relu_0.05_method2_sgd
1,layer1,1,3,relu_0.05_method2_sgd
1,layer2,1,3,relu_0.05_method2_sgd
1,layer3,2,3,relu_0.05_method2_sgd
1,layer4,1,3,relu_0.05_method2_sgd
1,conv1,1,4,relu_0.05_method2_sgd
1,layer1,2,4,relu_0.05_method2_sgd
1,layer2,2,4,relu_0.05_method2_sgd
1,layer3,3,4,relu_0.05_method2_sgd
1,layer4,4,4,relu_0.05_method2_sgd
1,conv1,2,5,relu_0.05_method2_sgd
1,layer1,1,5,relu_0.05_method2_sgd
1,layer2,1,5,relu_0.05_method2_sgd
1,layer3,1,5,relu_0.05_method2_sgd
1,layer4,5,5,relu_0.05_method2_sgd
1,conv1,2,6,relu_0.05_method2_sgd
1,layer1,4,6,relu_0.05_method2_sgd
1,layer2,2,6,relu_0.05_method2_sgd
1,layer3,2,6,relu_0.05_method2_sgd
1,layer4,2,6,relu_0.05_method2_sgd
1,conv1,1,7,relu_0.05_method2_sgd
1,layer1,3,7,relu_0.05_method2_sgd
1,layer2,2,7,relu_0.05_method2_sgd
1,layer3,3,7,relu_0.05_method2_sgd
1,layer4,4,7,relu_0.05_method2_sgd
1,conv1,2,8,relu_0.05_method2_sgd
1,layer1,5,8,relu_0.05_method2_sgd
1,layer2,2,8,relu_0.05_method2_sgd
1,layer3,3,8,relu_0.05_method2_sgd
1,layer4,4,8,relu_0.05_method2_sgd
1,conv1,1,9,relu_0.05_method2_sgd
1,layer1,1,9,relu_0.05_method2_sgd
1,layer2,1,9,relu_0.05_method2_sgd
1,layer3,5,9,relu_0.05_method2_sgd
1,layer4,1,9,relu_0.05_method2_sgd
2,conv1,1,0,relu_0.05_method2_sgd
2,layer1,1,0,relu_0.05_method2_sgd
2,layer2,4,0,relu_0.05_method2_sgd
2,layer3,4,0,relu_0.05_method2_sgd
2,layer4,2,0,relu_0.05_method2_sgd
2,conv1,1,1,relu_0.05_method2_sgd
2,layer1,1,1,relu_0.05_method2_sgd
2,layer2,3,1,relu_0.05_method2_sgd
2,layer3,2,1,relu_0.05_method2_sgd
2,layer4,1,1,relu_0.05_method2_sgd
2,conv1,2,2,relu_0.05_method2_sgd
2,layer1,1,2,relu_0.05_method2_sgd
2,layer2,3,2,relu_0.05_method2_sgd
2,layer3,2,2,relu_0.05_method2_sgd
2,layer4,2,2,relu_0.05_method2_sgd
2,conv1,1,3,relu_0.05_method2_sgd
2,layer1,1,3,relu_0.05_method2_sgd
2,layer2,4,3,relu_0.05_method2_sgd
2,layer3,1,3,relu_0.05_method2_sgd
2,layer4,2,3,relu_0.05_method2_sgd
2,conv1,1,4,relu_0.05_method2_sgd
2,layer1,1,4,relu_0.05_method2_sgd
2,layer2,2,4,relu_0.05_method2_sgd
2,layer3,2,4,relu_0.05_method2_sgd
2,layer4,1,4,relu_0.05_method2_sgd
2,conv1,1,5,relu_0.05_method2_sgd
2,layer1,2,5,relu_0.05_method2_sgd
2,layer2,1,5,relu_0.05_method2_sgd
2,layer3,3,5,relu_0.05_method2_sgd
2,layer4,2,5,relu_0.05_method2_sgd
2,conv1,1,6,relu_0.05_method2_sgd
2,layer1,1,6,relu_0.05_method2_sgd
2,layer2,5,6,relu_0.05_method2_sgd
2,layer3,3,6,relu_0.05_method2_sgd
2,layer4,3,6,relu_0.05_method2_sgd
2,conv1,1,7,relu_0.05_method2_sgd
2,layer1,1,7,relu_0.05_method2_sgd
2,layer2,2,7,relu_0.05_method2_sgd
2,layer3,2,7,relu_0.05_method2_sgd
2,layer4,4,7,relu_0.05_method2_sgd
2,conv1,1,8,relu_0.05_method2_sgd
2,layer1,1,8,relu_0.05_method2_sgd
2,layer2,2,8,relu_0.05_method2_sgd
2,layer3,3,8,relu_0.05_method2_sgd
2,layer4,3,8,relu_0.05_method2_sgd
2,conv1,1,9,relu_0.05_method2_sgd
2,layer1,2,9,relu_0.05_method2_sgd
2,layer2,4,9,relu_0.05_method2_sgd
2,layer3,2,9,relu_0.05_method2_sgd
2,layer4,2,9,relu_0.05_method2_sgd
3,conv1,2,0,relu_0.05_method2_sgd
3,layer1,2,0,relu_0.05_method2_sgd
3,layer2,5,0,relu_0.05_method2_sgd
3,layer3,1,0,relu_0.05_method2_sgd
3,layer4,1,0,relu_0.05_method2_sgd
3,conv1,1,1,relu_0.05_method2_sgd
3,layer1,1,1,relu_0.05_method2_sgd
3,layer2,4,1,relu_0.05_method2_sgd
3,layer3,2,1,relu_0.05_method2_sgd
3,layer4,2,1,relu_0.05_method2_sgd
3,conv1,3,2,relu_0.05_method2_sgd
3,layer1,1,2,relu_0.05_method2_sgd
3,layer2,9,2,relu_0.05_method2_sgd
3,layer3,1,2,relu_0.05_method2_sgd
3,layer4,4,2,relu_0.05_method2_sgd
3,conv1,1,3,relu_0.05_method2_sgd
3,layer1,1,3,relu_0.05_method2_sgd
3,layer2,2,3,relu_0.05_method2_sgd
3,layer3,3,3,relu_0.05_method2_sgd
3,layer4,2,3,relu_0.05_method2_sgd
3,conv1,2,4,relu_0.05_method2_sgd
3,layer1,1,4,relu_0.05_method2_sgd
3,layer2,3,4,relu_0.05_method2_sgd
3,layer3,2,4,relu_0.05_method2_sgd
3,layer4,9,4,relu_0.05_method2_sgd
3,conv1,1,5,relu_0.05_method2_sgd
3,layer1,1,5,relu_0.05_method2_sgd
3,layer2,1,5,relu_0.05_method2_sgd
3,layer3,2,5,relu_0.05_method2_sgd
3,layer4,2,5,relu_0.05_method2_sgd
3,conv1,2,6,relu_0.05_method2_sgd
3,layer1,1,6,relu_0.05_method2_sgd
3,layer2,1,6,relu_0.05_method2_sgd
3,layer3,5,6,relu_0.05_method2_sgd
3,layer4,4,6,relu_0.05_method2_sgd
3,conv1,1,7,relu_0.05_method2_sgd
3,layer1,1,7,relu_0.05_method2_sgd
3,layer2,1,7,relu_0.05_method2_sgd
3,layer3,1,7,relu_0.05_method2_sgd
3,layer4,10,7,relu_0.05_method2_sgd
3,conv1,2,8,relu_0.05_method2_sgd
3,layer1,1,8,relu_0.05_method2_sgd
3,layer2,3,8,relu_0.05_method2_sgd
3,layer3,2,8,relu_0.05_method2_sgd
3,layer4,2,8,relu_0.05_method2_sgd
3,conv1,2,9,relu_0.05_method2_sgd
3,layer1,1,9,relu_0.05_method2_sgd
3,layer2,3,9,relu_0.05_method2_sgd
3,layer3,1,9,relu_0.05_method2_sgd
3,layer4,4,9,relu_0.05_method2_sgd
4,conv1,1,0,relu_0.05_method2_sgd
4,layer1,1,0,relu_0.05_method2_sgd
4,layer2,1,0,relu_0.05_method2_sgd
4,layer3,3,0,relu_0.05_method2_sgd
4,layer4,3,0,relu_0.05_method2_sgd
4,conv1,1,1,relu_0.05_method2_sgd
4,layer1,1,1,relu_0.05_method2_sgd
4,layer2,1,1,relu_0.05_method2_sgd
4,layer3,2,1,relu_0.05_method2_sgd
4,layer4,1,1,relu_0.05_method2_sgd
4,conv1,1,2,relu_0.05_method2_sgd
4,layer1,1,2,relu_0.05_method2_sgd
4,layer2,3,2,relu_0.05_method2_sgd
4,layer3,2,2,relu_0.05_method2_sgd
4,layer4,1,2,relu_0.05_method2_sgd
4,conv1,1,3,relu_0.05_method2_sgd
4,layer1,1,3,relu_0.05_method2_sgd
4,layer2,5,3,relu_0.05_method2_sgd
4,layer3,1,3,relu_0.05_method2_sgd
4,layer4,2,3,relu_0.05_method2_sgd
4,conv1,1,4,relu_0.05_method2_sgd
4,layer1,1,4,relu_0.05_method2_sgd
4,layer2,2,4,relu_0.05_method2_sgd
4,layer3,1,4,relu_0.05_method2_sgd
4,layer4,1,4,relu_0.05_method2_sgd
4,conv1,1,5,relu_0.05_method2_sgd
4,layer1,1,5,relu_0.05_method2_sgd
4,layer2,1,5,relu_0.05_method2_sgd
4,layer3,1,5,relu_0.05_method2_sgd
4,layer4,1,5,relu_0.05_method2_sgd
4,conv1,1,6,relu_0.05_method2_sgd
4,layer1,1,6,relu_0.05_method2_sgd
4,layer2,2,6,relu_0.05_method2_sgd
4,layer3,1,6,relu_0.05_method2_sgd
4,layer4,2,6,relu_0.05_method2_sgd
4,conv1,1,7,relu_0.05_method2_sgd
4,layer1,1,7,relu_0.05_method2_sgd
4,layer2,3,7,relu_0.05_method2_sgd
4,layer3,3,7,relu_0.05_method2_sgd
4,layer4,2,7,relu_0.05_method2_sgd
4,conv1,1,8,relu_0.05_method2_sgd
4,layer1,1,8,relu_0.05_method2_sgd
4,layer2,3,8,relu_0.05_method2_sgd
4,layer3,5,8,relu_0.05_method2_sgd
4,layer4,1,8,relu_0.05_method2_sgd
4,conv1,1,9,relu_0.05_method2_sgd
4,layer1,1,9,relu_0.05_method2_sgd
4,layer2,1,9,relu_0.05_method2_sgd
4,layer3,1,9,relu_0.05_method2_sgd
4,layer4,1,9,relu_0.05_method2_sgd
5,conv1,1,0,relu_0.05_method2_sgd
5,layer1,1,0,relu_0.05_method2_sgd
5,layer2,2,0,relu_0.05_method2_sgd
5,layer3,6,0,relu_0.05_method2_sgd
5,layer4,2,0,relu_0.05_method2_sgd
5,conv1,2,1,relu_0.05_method2_sgd
5,layer1,1,1,relu_0.05_method2_sgd
5,layer2,3,1,relu_0.05_method2_sgd
5,layer3,5,1,relu_0.05_method2_sgd
5,layer4,1,1,relu_0.05_method2_sgd
5,conv1,3,2,relu_0.05_method2_sgd
5,layer1,1,2,relu_0.05_method2_sgd
5,layer2,2,2,relu_0.05_method2_sgd
5,layer3,2,2,relu_0.05_method2_sgd
5,layer4,2,2,relu_0.05_method2_sgd
5,conv1,1,3,relu_0.05_method2_sgd
5,layer1,1,3,relu_0.05_method2_sgd
5,layer2,1,3,relu_0.05_method2_sgd
5,layer3,1,3,relu_0.05_method2_sgd
5,layer4,3,3,relu_0.05_method2_sgd
5,conv1,2,4,relu_0.05_method2_sgd
5,layer1,1,4,relu_0.05_method2_sgd
5,layer2,2,4,relu_0.05_method2_sgd
5,layer3,2,4,relu_0.05_method2_sgd
5,layer4,5,4,relu_0.05_method2_sgd
5,conv1,2,5,relu_0.05_method2_sgd
5,layer1,1,5,relu_0.05_method2_sgd
5,layer2,2,5,relu_0.05_method2_sgd
5,layer3,3,5,relu_0.05_method2_sgd
5,layer4,3,5,relu_0.05_method2_sgd
5,conv1,1,6,relu_0.05_method2_sgd
5,layer1,1,6,relu_0.05_method2_sgd
5,layer2,2,6,relu_0.05_method2_sgd
5,layer3,1,6,relu_0.05_method2_sgd
5,layer4,2,6,relu_0.05_method2_sgd
5,conv1,2,7,relu_0.05_method2_sgd
5,layer1,1,7,relu_0.05_method2_sgd
5,layer2,3,7,relu_0.05_method2_sgd
5,layer3,1,7,relu_0.05_method2_sgd
5,layer4,2,7,relu_0.05_method2_sgd
5,conv1,1,8,relu_0.05_method2_sgd
5,layer1,1,8,relu_0.05_method2_sgd
5,layer2,2,8,relu_0.05_method2_sgd
5,layer3,1,8,relu_0.05_method2_sgd
5,layer4,2,8,relu_0.05_method2_sgd
5,conv1,2,9,relu_0.05_method2_sgd
5,layer1,1,9,relu_0.05_method2_sgd
5,layer2,2,9,relu_0.05_method2_sgd
5,layer3,4,9,relu_0.05_method2_sgd
5,layer4,2,9,relu_0.05_method2_sgd
